EntrezID	SL2.5_ID
101261659	Solyc09g090550
101245454	Solyc04g077050
100037735	Solyc01g099590
101257957	Solyc04g079150
101246704	Solyc04g008830
101264401	Solyc11g066160
101251646	Solyc02g067980
101248209	Solyc11g072860
101260642	Solyc11g072860
544081	Solyc11g072860
101256941	Solyc11g072860
544080	Solyc11g072860
544030	Solyc08g080120
101256369	Solyc03g115810
101261200	Solyc12g014290
778199	Solyc07g066220
101254432	Solyc01g102790
101263208	Solyc05g012080
101267436	Solyc01g006890
101257286	Solyc08g006040
101264474	Solyc02g094260
101266277	Solyc02g023970
101265278	Solyc09g075450
101249579	Solyc01g088730
101260645	Solyc06g005820
104647135	Solyc04g071640
101263756	Solyc09g074340
101254363	Solyc12g017740
101245802	Solyc01g106020
101256158	Solyc11g069340
101250819	Solyc07g043660
101249768	Solyc10g008960
101250052	Solyc09g090030
101252662	Solyc12g013920
101244425	Solyc01g107290
101250881	Solyc04g011870
101250637	Solyc01g111970
101257052	Solyc03g098420
101245820	Solyc03g007090
101257898	Solyc01g096130
101263745	Solyc01g059830
101268590	Solyc07g064800
101246486	Solyc01g100450
101254058	Solyc02g062030
101247564	Solyc01g103850
101264330	Solyc06g009390
101258678	Solyc08g015620
101253052	Solyc11g061770
101245920	Solyc11g072390
101262456	Solyc01g090510
101250429	Solyc08g014050
101251013	Solyc08g014080
101257966	Solyc05g055890
101259018	Solyc02g069950
100037729	Solyc02g087970
101254952	Solyc01g112150
101268127	Solyc08g079270
543812	Solyc04g076880
543656	Solyc07g055740
101244917	Solyc02g093080
101255157	Solyc02g082800
101245911	Solyc02g072510
101253420	Solyc01g080940
101262888	Solyc11g066410
101254135	Solyc01g106450
101253801	Solyc07g006740
101256389	Solyc06g066320
544140	Solyc12g095860
101250561	Solyc11g008680
101266126	Solyc05g050770
101252597	Solyc06g062980
104644432	Solyc10g082050
544105	Solyc01g090460
101249155	Solyc03g081320
100736548	Solyc04g007710
101267408	Solyc05g052180
101257377	Solyc05g041200
101267244	Solyc06g069180
101251332	Solyc01g098230
101245367	Solyc06g053430
101257700	Solyc09g065270
101244685	Solyc07g062450
