Os01g0144380	Os01t0144380-01
Os01g0144500	Os01t0144500-00
Os01g0144700	Os01t0144700-01
Os01g0145000	Os01t0145000-00
Os01g0145101	Os01t0145101-00
Os01g0145200	Os01t0145200-01
Os01g0145400	Os01t0145400-00
Os01g0145500	Os01t0145500-00
Os01g0145700	Os01t0145700-00
Os01g0145800	Os01t0145800-00
Os01g0145900	Os01t0145900-00
Os01g0146000	Os01t0146000-00
Os01g0146101	Os01t0146101-01
Os01g0146200	Os01t0146200-01
Os01g0146351	Os01t0146351-00
Os01g0146500	Os01t0146500-00
Os01g0146801	Os01t0146801-00
Os01g0146900	Os01t0146900-00
Os01g0147001	Os01t0147001-00
Os01g0147100	Os01t0147100-00
Os01g0147166	Os01t0147166-00
Os01g0147250	Os01t0147250-01
Os01g0147300	Os01t0147300-01
Os01g0147400	Os01t0147400-00
Os01g0147600	Os01t0147600-00
Os01g0147650	Os01t0147650-00
Os01g0147850	Os01t0147850-00
Os01g0147950	Os01t0147950-00
Os01g0148000	Os01t0148000-00
Os01g0148050	Os01t0148050-01
Os01g0148075	Os01t0148075-00
Os01g0148300	Os01t0148300-00
Os01g0148600	Os01t0148600-00
Os01g0149300	Os01t0149300-00
Os01g0149350	Os01t0149350-00
Os01g0149600	Os01t0149600-00
Os01g0149700	Os01t0149700-00
Os01g0149750	Os01t0149750-00
Os01g0149800	Os01t0149800-01
Os01g0150301	Os01t0150301-00
Os01g0150400	Os01t0150400-00
Os01g0150700	Os01t0150700-00
Os01g0150750	Os01t0150750-00
Os01g0150950	Os01t0150950-00
Os01g0151001	Os01t0151001-00
Os01g0151500	Os01t0151500-00
Os01g0160750	Os01t0160750-00
Os01g0151750	Os01t0151750-00
Os01g0151800	Os01t0151800-00
Os01g0151900	Os01t0151900-01
Os01g0152050	Os01t0152050-00
Os01g0152100	Os01t0152100-00
Os01g0152200	Os01t0152200-00
Os01g0152300	Os01t0152300-00
Os01g0152675	Os01t0152675-00
Os01g0152687	Os01t0152687-00
Os01g0152850	Os01t0152850-00
Os01g0152900	Os01t0152900-00
Os01g0152950	Os01t0152950-00
Os01g0152951	Os01t0152951-00
Os01g0153050	Os01t0153050-00
Os01g0153100	Os01t0153100-00
Os01g0153150	Os01t0153150-01
Os01g0153250	Os01t0153250-00
Os01g0153275	Os01t0153275-00
Os01g0153300	Os01t0153300-00
Os01g0153500	Os01t0153500-00
Os01g0153550	Os01t0153550-00
Os01g0153600	Os01t0153600-00
Os01g0153625	Os01t0153625-00
Os01g0153651	Os01t0153651-00
Os01g0153800	Os01t0153800-00
Os01g0153900	Os01t0153900-00
Os01g0153950	Os01t0153950-00
Os01g0154100	Os01t0154100-00
Os01g0154200	Os01t0154200-00
Os01g0154250	Os01t0154250-00
Os01g0154300	Os01t0154300-00
Os01g0154550	Os01t0154550-01
Os01g0154950	Os01t0154950-01
Os01g0175850	Os01t0175850-00
Os01g0155100	Os01t0155100-00
Os01g0155200	Os01t0155200-00
Os01g0155300	Os01t0155300-00
Os01g0155800	Os01t0155800-01
Os01g0156400	Os01t0156400-00
Os01g0156500	Os01t0156500-00
Os01g0156600	Os01t0156600-00
Os01g0156900	Os01t0156900-00
Os01g0157001	Os01t0157001-00
Os01g0157100	Os01t0157100-00
Os01g0157300	Os01t0157300-00
Os01g0157400	Os01t0157400-00
Os01g0157500	Os01t0157500-00
Os01g0157700	Os01t0157700-00
Os01g0158100	Os01t0158100-01
Os01g0158500	Os01t0158500-01
Os01g0158533	Os01t0158533-00
Os01g0158566	Os01t0158566-00
Os01g0158800	Os01t0158800-00
Os01g0158850	Os01t0158850-00
Os01g0159250	Os01t0159250-00
Os01g0160150	Os01t0160150-00
Os01g0160600	Os01t0160600-00
Os01g0160800	Os01t0160800-01
Os01g0160850	Os01t0160850-00
Os01g0162001	Os01t0162001-00
Os01g0162101	Os01t0162101-00
Os01g0162200	Os01t0162200-00
Os01g0162500	Os01t0162500-01
Os01g0162600	Os01t0162600-00
Os01g0162701	Os01t0162701-01
Os01g0163100	Os01t0163100-00
Os01g0163300	Os01t0163300-00
Os01g0163450	Os01t0163450-01
Os01g0163533	Os01t0163533-00
Os01g0163600	Os01t0163600-00
Os01g0163616	Os01t0163616-00
Os01g0163701	Os01t0163701-00
Os01g0163812	Os01t0163812-00
Os01g0164000	Os01t0164000-00
Os01g0164025	Os01t0164025-00
Os01g0164075	Os01t0164075-00
Os01g0164100	Os01t0164100-00
Os01g0164200	Os01t0164200-00
Os01g0164300	Os01t0164300-00
Os01g0164650	Os01t0164650-00
Os01g0213100	Os01t0213100-00
Os01g0165600	Os01t0165600-00
Os01g0165666	Os01t0165666-00
Os01g0166000	Os01t0166000-00
Os01g0166300	Os01t0166300-00
Os01g0166400	Os01t0166400-01
Os01g0166400	Os01t0166400-02
Os01g0167000	Os01t0167000-00
Os01g0167600	Os01t0167600-00
Os01g0167750	Os01t0167750-00
Os01g0168350	Os01t0168350-00
Os01g0168450	Os01t0168450-00
Os01g0168600	Os01t0168600-01
Os01g0168800	Os01t0168800-01
Os01g0168850	Os01t0168850-01
Os01g0168900	Os01t0168900-00
Os01g0169000	Os01t0169000-00
Os01g0169100	Os01t0169100-00
Os01g0169600	Os01t0169600-00
Os01g0169700	Os01t0169700-00
Os01g0169851	Os01t0169851-00
Os01g0170051	Os01t0170051-00
Os01g0170100	Os01t0170100-01
Os01g0170300	Os01t0170300-01
Os01g0170750	Os01t0170750-00
Os01g0171100	Os01t0171100-00
Os01g0171300	Os01t0171300-00
Os01g0171466	Os01t0171466-00
Os01g0171600	Os01t0171600-00
Os01g0171701	Os01t0171701-00
Os01g0175700	Os01t0175700-00
Os01g0171900	Os01t0171900-00
Os01g0172500	Os01t0172500-00
Os01g0172701	Os01t0172701-00
Os01g0172900	Os01t0172900-00
Os01g0173000	Os01t0173000-01
Os01g0173200	Os01t0173200-00
Os01g0173400	Os01t0173400-00
Os01g0173600	Os01t0173600-00
Os01g0173701	Os01t0173701-00
Os01g0173801	Os01t0173801-00
Os01g0173950	Os01t0173950-00
Os01g0174000	Os01t0174000-00
Os01g0175733	Os01t0175733-00
Os01g0174400	Os01t0174400-01
Os01g0175633	Os01t0175633-00
Os01g0175666	Os01t0175666-00
Os01g0175766	Os01t0175766-00
Os01g0176050	Os01t0176050-00
Os01g0176150	Os01t0176150-00
Os01g0176300	Os01t0176300-00
Os01g0176751	Os01t0176751-00
Os01g0176800	Os01t0176800-01
Os01g0176900	Os01t0176900-00
Os01g0177150	Os01t0177150-01
Os01g0177500	Os01t0177500-00
Os01g0177600	Os01t0177600-00
Os01g0177800	Os01t0177800-00
Os01g0178200	Os01t0178200-00
